,Consumer_Comments
0,"Hi Darb, We will look into this. I think this needs to go to IT h6. Message originally posted in [IT-4689| on PM OK I will look h6. Message originally posted in [IT-4689| on PM Darb, Can you tell us more is what is happening ""Ticket From - Partner Support - SO-XXXXXX - TEST"" has been changed to a status of Completed ---- Please check this issue for more details h6. Message originally posted in [IT-4689| on PM THis is done h6. Message originally posted by in [IT-4689| on PM The linked issue - has been resolved ""Ticket From - Partner Support - SO-XXXXXX - TEST"" has been changed to a status of Closed ---- Please check this issue for more details"
1,
2,"Working on it This should get moved to ERP Hi Darb, We have escalated your request to our internal team to look into the technical issue. Thanks, Brad - Partner Support h6. Message originally posted in [IT-4676| on AM Thanks for escalating to IT. We will check it out. h6. Message originally posted in [IT-4676| on AM This is an internal note h6. Message originally posted by in [IT-4676| on AM The linked issue - has been resolved"
3,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. I can confirm that this order has been cancelled."
4,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. Your order has been updated."
5,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer service. I have updated your order."
6,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. I have added 25 cases of item #827022 Mangos 10# CASE -PG Only 1/10 Lbs Case to SO153490."
7,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. While extensions are not promised, I have notified the Regional Team of your situation and we are working on a solution. We will follow up with you shortly with any updates."
8,"Hi ROBERT G. WILLIAMS JR., for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank okay Good morning, Thank you for contacting customer support. I have cancelled your order."
9,"Good afternoon, Please reach out to the Senior Program at 202-644-9880 or Unfortunately, we cannot provide an ETA for your Grocery Go Order as that is managed by another department. Thank you, ""D"" I consulted with my fellow team member on the Senior Hunger Program and she let me know that your delivery on Tuesday 2.18. Disregard, Michelle let me know you are talking to someone on her team, thank you!"
